feature,information_value,abs_coefficient
delinquencies_2y,0.1909,0.7216828500750122
credit_utilization,0.1588,0.8984190783694807
debt_to_income,0.1468,0.8988694456757196
inquiries_6m,0.1229,0.6299809520385672
loan_to_income,0.05750000000000001,0.7369708042967663
home_ownership,0.0285,1.0578198612123892
loan_purpose,0.0275,0.8853575032623158
annual_income,0.023900000000000005,0.7573508451993278
age,0.023899999999999998,0.7437267961067475
employment_years,0.0236,0.6443514129209456
loan_amount,0.009999999999999998,0.5115997339620971
education_level,0.0021999999999999997,1.0559472242310508
