特征,变量类型,分箱,样本数,好样本数,坏样本数,坏账率,WOE,IV,回归系数,分数
年龄,数值变量,"(-inf, 30.0]",775,515,260,0.3355,-0.2365,0.013,-0.7437267961067475,-13
年龄,数值变量,"(30.0, 36.0]",677,480,197,0.291,-0.0299,0.0002,-0.7437267961067475,-2
年龄,数值变量,"(36.0, 42.0]",753,542,211,0.2802,0.023,0.0001,-0.7437267961067475,1
年龄,数值变量,"(42.0, 48.0]",680,516,164,0.2412,0.2252,0.0094,-0.7437267961067475,12
年龄,数值变量,"(48.0, inf]",615,450,165,0.2683,0.0824,0.0012,-0.7437267961067475,4
年收入,数值变量,"(-inf, 35672.396]",700,472,228,0.3257,-0.1925,0.0077,-0.7573508451993278,-11
年收入,数值变量,"(35672.396, 46326.754]",700,478,222,0.3171,-0.1533,0.0048,-0.7573508451993278,-8
年收入,数值变量,"(46326.754, 57216.448]",700,505,195,0.2786,0.031,0.0002,-0.7573508451993278,2
年收入,数值变量,"(57216.448, 76009.848]",700,523,177,0.2529,0.1626,0.0051,-0.7573508451993278,9
年收入,数值变量,"(76009.848, inf]",700,525,175,0.25,0.1777,0.0061,-0.7573508451993278,10
工作年限,数值变量,"(-inf, 1.7]",717,502,215,0.2999,-0.0724,0.0011,-0.6443514129209456,-3
工作年限,数值变量,"(1.7, 3.7]",688,457,231,0.3358,-0.2378,0.0117,-0.6443514129209456,-11
工作年限,数值变量,"(3.7, 6.4]",705,504,201,0.2851,-0.0012,0.0,-0.6443514129209456,0
工作年限,数值变量,"(6.4, 10.0]",700,524,176,0.2514,0.1701,0.0056,-0.6443514129209456,8
工作年限,数值变量,"(10.0, inf]",690,516,174,0.2522,0.1662,0.0052,-0.6443514129209456,8
债务收入比,数值变量,"(-inf, 0.167]",700,571,129,0.1843,0.5656,0.0557,-0.8988694456757196,37
债务收入比,数值变量,"(0.167, 0.258]",701,549,152,0.2168,0.3629,0.0242,-0.8988694456757196,24
债务收入比,数值变量,"(0.258, 0.346]",700,483,217,0.31,-0.1201,0.003,-0.8988694456757196,-8
债务收入比,数值变量,"(0.346, 0.456]",699,482,217,0.3104,-0.1222,0.0031,-0.8988694456757196,-8
债务收入比,数值变量,"(0.456, inf]",700,418,282,0.4029,-0.526,0.0608,-0.8988694456757196,-34
信用额度使用率,数值变量,"(-inf, 0.208]",701,570,131,0.1869,0.5485,0.0527,-0.8984190783694807,36
信用额度使用率,数值变量,"(0.208, 0.335]",699,536,163,0.2332,0.2693,0.0136,-0.8984190783694807,17
信用额度使用率,数值变量,"(0.335, 0.454]",700,501,199,0.2843,0.0028,0.0,-0.8984190783694807,0
信用额度使用率,数值变量,"(0.454, 0.59]",700,498,202,0.2886,-0.0181,0.0001,-0.8984190783694807,-1
信用额度使用率,数值变量,"(0.59, inf]",700,398,302,0.4314,-0.6434,0.0924,-0.8984190783694807,-42
近两年逾期次数,数值变量,"(-inf, 1.0]",2710,2068,642,0.2369,0.2496,0.0455,-0.7216828500750122,13
近两年逾期次数,数值变量,"(1.0, 2.0]",556,327,229,0.4119,-0.564,0.0559,-0.7216828500750122,-29
近两年逾期次数,数值变量,"(2.0, inf]",234,108,126,0.5385,-1.0731,0.0895,-0.7216828500750122,-56
近六个月查询次数,数值变量,"(-inf, 1.0]",2456,1865,591,0.2406,0.229,0.0349,-0.6299809520385672,10
近六个月查询次数,数值变量,"(1.0, 2.0]",633,414,219,0.346,-0.2839,0.0154,-0.6299809520385672,-13
近六个月查询次数,数值变量,"(2.0, inf]",411,224,187,0.455,-0.7395,0.0726,-0.6299809520385672,-34
贷款金额,数值变量,"(-inf, 12873.436]",700,519,181,0.2586,0.1326,0.0034,-0.5115997339620971,5
贷款金额,数值变量,"(12873.436, 16048.692]",700,517,183,0.2614,0.1178,0.0027,-0.5115997339620971,4
贷款金额,数值变量,"(16048.692, 18891.57]",700,490,210,0.3,-0.073,0.0011,-0.5115997339620971,-3
贷款金额,数值变量,"(18891.57, 22650.648]",700,488,212,0.3029,-0.0866,0.0015,-0.5115997339620971,-3
贷款金额,数值变量,"(22650.648, inf]",700,489,211,0.3014,-0.0798,0.0013,-0.5115997339620971,-3
贷款收入比,数值变量,"(-inf, 0.23]",700,550,150,0.2143,0.3779,0.0261,-0.7369708042967663,20
贷款收入比,数值变量,"(0.23, 0.293]",702,497,205,0.292,-0.0348,0.0002,-0.7369708042967663,-2
贷款收入比,数值变量,"(0.293, 0.363]",698,523,175,0.2507,0.1739,0.0058,-0.7369708042967663,9
贷款收入比,数值变量,"(0.363, 0.469]",700,481,219,0.3129,-0.1334,0.0037,-0.7369708042967663,-7
贷款收入比,数值变量,"(0.469, inf]",700,452,248,0.3543,-0.3196,0.0217,-0.7369708042967663,-17
住房状态,类别变量,按揭房,1518,1137,381,0.251,0.1732,0.0125,-1.0578198612123892,13
住房状态,类别变量,自有住房,555,403,152,0.2739,0.0537,0.0005,-1.0578198612123892,4
住房状态,类别变量,租房,1341,906,435,0.3244,-0.1862,0.0138,-1.0578198612123892,-14
住房状态,类别变量,其他,86,57,29,0.3372,-0.2519,0.0017,-1.0578198612123892,-19
贷款用途,类别变量,住房改善,456,349,107,0.2346,0.2603,0.0083,-0.8853575032623158,17
贷款用途,类别变量,教育,220,168,52,0.2364,0.2474,0.0036,-0.8853575032623158,16
贷款用途,类别变量,信用卡,848,608,240,0.283,0.0096,0.0,-0.8853575032623158,1
贷款用途,类别变量,债务整合,1448,1027,421,0.2907,-0.0276,0.0003,-0.8853575032623158,-2
贷款用途,类别变量,医疗,280,198,82,0.2929,-0.0407,0.0001,-0.8853575032623158,-3
贷款用途,类别变量,小微经营,248,153,95,0.3831,-0.4441,0.0152,-0.8853575032623158,-28
教育水平,类别变量,本科,1611,1164,447,0.2775,0.0368,0.0006,-1.0559472242310508,3
教育水平,类别变量,硕士及以上,647,467,180,0.2782,0.0321,0.0002,-1.0559472242310508,2
